Province;P;UR;EP/P;UL/P;HD/GDP;PT/P;TR;WAR;HW;TWD;ESE;WA_P;GA;CO2/P;GDP;EC/P;ERE/GDP;TE/GDP;TIEPC;PGR_GDP;Illness;Died;Proc_D;X;Y
Beijing;2170,500000;1,390000;0,607077;0,251573;1,250074;27,123243;29,000000;0,130952;18,180000;12572,358330;109,600000;0,237633;336,300000;3,159641;106497,000000;3,147201;5,340996;1,583143;10364,829150;26,100000;410,000000;8,000000;0,019512;620;326
Tianjin;1546,950000;3,500000;0,336650;0,332868;1,437183;11,273797;11,900000;0,040000;24,380000;13706,226550;20,500000;10,233630;130,000000;2,100262;107960,090000;5,272361;5,104664;1,542237;675,870641;16,800000;136,000000;3,000000;0,022059;633;364
Hebei;7424,920000;3,600000;0,510469;0,042259;2,743783;6,737177;7,200000;0,068732;189,820000;38386,832380;76,400000;2,340201;4085,320000;1,222505;40255,000000;4,972611;1,093032;3,241833;301,890329;12,300000;318,000000;6,000000;0,018868;607;384
Shanxi;3664,120000;3,510000;0,454428;0,008351;2,678120;6,865223;8,100000;0,106276;70,860000;21019,744530;137,100000;182,913677;4552,000000;1,341113;34918,710000;5,564628;1,973154;4,593526;493,047849;17,100000;133,000000;0,000000;0,000000;568;400
Inner Mongolia;2511,040000;3,650000;0,471789;0,194186;0,221780;5,920654;6,400000;0,538449;320,110000;13970,530040;86,400000;4,783544;63591,100000;1,941427;71100,540000;8,288847;1,496472;1,481001;317,369109;14,600000;75,000000;1,000000;0,013333;571;296
Liaoning;4382,400000;3,420000;0,510700;0,130677;1,390050;16,539567;16,800000;0,081076;106,210000;12521,762310;99,300000;9,983391;3239,300000;1,906033;65354,410000;4,798969;1,297541;2,102383;608,651604;15,200000;121,000000;1,000000;0,008264;693;330
Jilin;2753,320000;3,500000;0,453514;0,015883;1,060138;11,981535;13,200000;0,232657;178,720000;8832,656616;86,800000;56,573516;4379,000000;1,529426;51086,000000;2,957157;2,531026;1,822417;293,880331;12,100000;89,000000;1,000000;0,011236;741;278
Heilongjiang;3811,700000;4,470000;0,457379;0,115054;0,944180;9,095679;11,200000;0,329696;65,080000;37897,874590;90,200000;0,199686;6081,700000;1,607157;39461,560000;3,181258;1,844833;1,943664;106,186595;11,300000;482,000000;13,000000;0,026971;746;171
Shanghai;2415,270000;4,040000;0,382864;0,095037;2,139830;6,411291;5,700000;0,122063;110,440000;23933,581540;4,900000;2,467862;37,300000;1,974520;103795,540000;4,849147;3,372977;1,230303;197,110896;32,500000;335,000000;3,000000;0,008955;684;531
Jiangsu;7976,300000;3,000000;0,593224;0,167702;1,816696;15,894964;17,300000;0,053480;435,520000;18313,317120;22,400000;0,499359;325,700000;0,853278;87995,000000;3,893284;0,926189;1,203477;270,608040;13,700000;631,000000;0,000000;0,000000;661;485
