;Xinjiang;Ninxia;Qinghai;Gansu;Shaanxi;Tibet;Yunnan;Guizhou;Sizhou;Cjongqing;Hainan;Guanxi;Guangdong;Hunan;Hubei;Henan;Shandong;Jiangxi;Fujian;Anhui;Zhejiang;Jiangsu;Shanghai;Heilongjiang;Jilin;Liaoning;Inner Mongolia;Shanxi;Hebei;Tianjin;Beijing
2019-01-12 00:00:00;0,7503192;0,8901576;0,5727348;1,656126;3,2684472;0,2451708;1,9575756;2,4833952;4,2509124;3,1472388;0,9798732;2,5486812;11,1789072;3,3573528;3,3752376;5,1347844;5,8416228;2,858166;2,5191;4,8330108;8,215344;10,7199288;8,6778216;1,8014076;1,9900728;2,9200824;2,7832248;2,8572912;8,4924288;3,5249904;11,2168152
2019-01-13 00:00:00;0,7604604;0,8036496;0,5353452;1,6142976;3,0023136;0,2341548;1,9041156;2,3247972;3,911814;2,8753056;0,9631224;2,3557716;10,823382;3,139722;3,1560516;4,7669796;5,2947432;2,5278156;2,370708;4,5513576;7,5818916;9,8576352;6,5288268;1,614492;1,8149832;2,5866864;2,5922916;2,5595352;8,483292;3,1009392;7,7077332
2019-01-14 00:00:00;0,7643808;0,8220204;0,5298696;1,6521084;3,212946;0,2270916;1,9657728;2,3570352;4,1738652;3,1105296;1,0061496;2,4329484;11,1545424;3,2768712;3,3154596;5,3629128;5,8011876;2,61549;2,551176;5,3509248;8,2712988;11,1707424;6,9865416;1,7330112;1,8254808;2,844558;2,7378648;2,7065664;11,5326504;3,6767196;7,9039152
2019-01-15 00:00:00;0,7719624;0,7909164;0,5159376;1,554552;3,1179492;0,23652;1,9761732;2,3266116;4,0420296;2,9074464;1,0439928;2,344302;11,6339976;3,2707152;3,240648;5,124708;5,946858;2,4924348;2,597508;4,8173292;8,3889108;10,4076252;6,6785472;1,6200324;1,6601436;2,6890056;2,6727408;2,634768;9,3710196;3,2685768;7,7890572
2019-01-16 00:00:00;0,8766144;0,8667972;0,5546232;1,5871788;3,3426756;0,2462076;2,0065644;2,3554476;4,1091948;2,982744;1,062882;2,3871024;13,225194;3,3700212;3,4417872;4,9996116;5,826978;2,5620624;2,7750924;4,660092;9,0118008;10,4908932;6,931332;1,6267068;1,7197272;2,73375;2,7242568;2,6718984;9,18864;3,3761772;8,2920996
2019-01-17 00:00:00;0,8993268;0,9095976;0,5703696;1,5847488;3,4640784;0,2474064;2,138886;2,4138972;4,255416;3,0148848;1,071306;2,3895648;14,6631708;3,4189128;3,4942104;5,168934;5,8833864;2,486862;2,9681316;4,7510388;9,7356168;11,0229984;7,227792;1,6340292;1,6703496;2,7585684;2,7268164;2,7438912;9,5797728;3,5305308;8,493012
2019-01-18 00:00:00;0,8809884;0,9011412;0,5804784;1,615626;3,4809588;0,2478276;2,1722904;2,4932124;4,4736624;3,1171068;1,0955412;2,563002;15,036516;3,5567748;3,6059904;5,3543916;6,0312276;2,5381512;3,1173012;4,9652352;10,2580668;11,2899744;7,8217164;1,6610508;1,765152;2,772144;2,8245348;2,78802;9,1825164;3,7126836;9,471816
2019-01-19 00:00:00;0,9496116;0,8953416;0,5970348;1,622592;3,6173628;0,2498364;2,2614876;2,664738;4,7710296;3,5240508;1,1293668;2,875014;17,4976848;3,7244448;3,8576736;5,5113048;6,1921908;2,7108432;3,3571584;5,1813432;11,4808104;12,255624;9,6037812;1,6255404;1,807272;2,7957636;2,8425492;2,879226;9,030204;4,0998636;12,126834
2019-01-20 00:00:00;1,0351476;0,832518;0,555174;1,53819;3,4952472;0,2562192;2,3141052;2,6406648;4,7034756;3,3097896;1,146312;2,7965088;18,9392904;3,5147844;3,6143172;5,204412;5,9769576;2,5299216;3,4265268;4,8656052;12,2952816;12,0066624;7,699374;1,526364;1,6226568;2,8659096;2,7127224;2,758698;9,2825028;3,8555352;9,4347828
2019-01-21 00:00:00;0,9608544;0,8344944;0,5174928;1,5485256;3,5796816;0,2510352;2,447658;2,6931852;4,882032;3,476682;1,237356;2,8345788;22,3543152;3,6120492;3,6954144;5,3850096;6,2779212;2,6133192;3,860136;5,36058;14,4093816;13,4599968;8,1895212;1,6074936;1,6413192;2,982906;2,8944216;2,7950184;11,2099788;4,12128;9,63495
